code;name;dk;x;y;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Ράμπες;Ράμπες;Ράμπες;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων
77;ΕΛΛΗΝΟΡΩΣΣΩΝ Ι;7η ΔΚ;23777;37996;0.05;0.13;0.75;0.08;0.29;0.71;0.88;0.10;0.02;0.99;0.01;0.01;0.42;0.57;0.53;0.38;0.08;0.74;0.15;0.10;0.99;0.01;0.00;0.63;0.10;0.00;0.00;0.00;0.66;0.00;0.71;0.19;0.39;0.03;0.24;0.22;0.00;1.86;4.73;5.75;7.89;0.01;0.00;0.45;0.51;0.00;0.00;0.37;0.07;0.01;0.08;0.02;0.20;0.00;0.01;0.19;0.31;0.69;0.69;0.96;0.02;0.01;0.84;0.06;0.08;0.40;0.00;0.60;0.00;0.63;0.00;0.38;0.00;1.00;1.00;0.00;0.71;0.29;0.08;0.46;0.46
93;ΕΛΛΗΝΟΡΩΣΩΝ ΙΙ;7η ΔΚ;23773;37998;0.07;0.06;0.76;0.09;0.21;0.77;0.89;0.09;0.01;0.95;0.03;0.02;0.48;0.49;0.49;0.32;0.15;0.63;0.30;0.04;0.96;0.02;0.01;0.57;0.12;0.01;0.00;0.00;0.48;0.00;0.70;0.17;0.28;0.01;0.21;0.31;0.00;5.39;4.06;1.60;6.79;0.01;0.01;0.23;0.74;0.00;0.00;0.57;0.10;0.00;0.09;0.01;0.16;0.00;0.00;0.03;0.19;0.81;0.80;0.94;0.01;0.01;0.94;0.01;0.02;0.63;0.00;0.38;0.00;0.63;0.00;0.38;0.09;0.91;1.00;0.00;0.71;0.29;0.09;0.91;0.00
49;ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ;1η ΔΚ;23.73;37.98;0.05;0.19;0.52;0.24;1.00;0.00;0.26;0.25;0.48;0.91;0.09;0.01;0.51;0.48;0.06;0.23;0.71;0.18;0.34;0.45;0.64;0.25;0.11;0.09;0.05;0.03;0.06;0.00;0.28;0.00;0.27;0.09;0.11;0.02;0.03;0.15;25.84;6.82;2.98;29.81;6.80;0.29;0.00;0.11;0.59;0.01;0.00;0.08;0.21;0.06;0.10;0.05;0.06;0.00;0.01;0.12;0.33;0.67;0.78;0.36;0.13;0.13;0.22;0.14;0.26;0.04;0.19;0.49;0.27;0.13;0.06;0.81;0.10;0.90;1.00;0.00;0.74;0.26;0.13;0.17;0.70
60;ΕΞΑΡΧΕΙΑ;1η ΔΚ;23735;37986;0.01;0.57;0.38;0.03;0.58;0.42;0.49;0.25;0.26;0.93;0.07;0.00;0.57;0.43;0.26;0.16;0.58;0.60;0.35;0.05;0.83;0.09;0.08;0.26;0.15;0.01;0.02;0.00;0.32;0.08;0.52;0.04;0.16;0.00;0.24;0.31;28.53;11.02;3.69;23.08;7.51;0.17;0.02;0.00;0.81;0.00;0.00;0.25;0.27;0.06;0.06;0.01;0.03;0.00;0.00;0.13;0.46;0.54;0.92;0.87;0.11;0.01;0.69;0.15;0.16;0.00;0.00;0.50;0.50;0.20;0.00;0.80;0.17;0.83;1.00;0.00;0.17;0.83;0.20;0.00;0.80
82;ΕΡΥΘΡΟΣ Ι;7η ΔΚ;23.77;37995;0.08;0.22;0.57;0.11;0.45;0.53;0.78;0.11;0.10;0.96;0.02;0.03;0.51;0.44;0.37;0.30;0.28;0.46;0.42;0.07;0.92;0.05;0.01;0.27;0.04;0.00;0.01;0.00;0.49;0.00;0.25;0.16;0.13;0.00;0.11;0.14;0.00;3.62;4.27;7.79;8.02;0.03;0.00;0.33;0.64;0.00;0.00;0.48;0.13;0.02;0.11;0.00;0.10;0.00;0.00;0.13;0.17;0.83;0.86;0.84;0.05;0.03;0.74;0.08;0.11;0.17;0.33;0.50;0.00;0.20;0.80;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00
71;ΕΡΥΘΡΟΣ ΙΙ;7η ΔΚ;23772;37993;0.02;0.13;0.72;0.14;0.28;0.72;0.87;0.08;0.05;0.99;0.01;0.02;0.41;0.57;0.33;0.49;0.16;0.69;0.22;0.08;0.91;0.07;0.02;0.43;0.03;0.00;0.00;0.00;0.74;0.00;0.38;0.17;0.36;0.00;0.17;0.20;0.12;1.70;5.21;11.52;8.16;0.04;0.00;0.33;0.61;0.00;0.00;0.48;0.09;0.01;0.04;0.02;0.15;0.00;0.01;0.14;0.22;0.78;0.86;0.94;0.02;0.01;0.83;0.06;0.07;0.25;0.00;0.75;0.00;0.25;0.00;0.75;0.00;1.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00
35;ΖΑΠΠΕΙΟ ΣΤΑΔΙΟ;2η ΔΚ;23737;37971;0.60;0.06;0.03;0.30;0.95;0.05;1.00;0.00;0.00;0.98;0.02;0.05;0.45;0.49;0.03;0.17;0.74;0.15;0.32;0.48;0.98;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.16;0.00;0.15;0.03;0.00;0.07;0.04;0.01;0.00;37.43;13.23;27.43;9.14;0.10;0.03;0.65;0.22;0.01;0.00;0.07;0.07;0.10;0.05;0.04;0.05;0.03;0.00;0.44;0.13;0.87;1.00;0.32;0.47;0.11;0.38;0.31;0.22;0.03;0.00;0.97;0.00;0.04;0.07;0.89;0.00;1.00;1.00;0.00;0.62;0.38;0.00;0.10;0.90
39;ΘΗΣΕΙΟ;3η ΔΚ;23717;37975;0.10;0.27;0.54;0.09;0.31;0.69;0.96;0.03;0.01;0.97;0.03;0.03;0.55;0.42;0.37;0.29;0.32;0.51;0.23;0.22;0.78;0.17;0.04;0.18;0.23;0.00;0.00;0.00;0.31;0.00;0.36;0.08;0.05;0.01;0.20;0.34;2.76;12.39;2.93;22.67;8.38;0.21;0.01;0.18;0.60;0.04;0.04;0.36;0.23;0.06;0.04;0.00;0.00;0.00;0.00;0.00;0.25;0.72;0.73;0.63;0.00;0.04;0.32;0.17;0.18;0.75;0.25;0.00;0.00;0.75;0.25;0.00;0.56;0.44;1.00;0.00;1.00;0.00;1.00;0.00;0.00
113;ΘΥΜΑΡΑΚΙΑ;4η ΔΚ;23724;38006;0.04;0.70;0.25;0.00;0.35;0.65;0.73;0.11;0.16;0.99;0.01;0.01;0.79;0.20;0.73;0.12;0.14;0.86;0.09;0.04;0.96;0.02;0.02;0.21;0.47;0.01;0.01;0.00;0.30;0.00;0.87;0.19;0.07;0.02;0.18;0.61;1.68;6.34;1.85;9.01;8.07;0.06;0.00;0.24;0.70;0.00;0.00;0.53;0.31;0.03;0.00;0.00;0.07;0.00;0.00;0.00;0.78;0.23;1.00;0.92;0.00;0.00;0.81;0.05;0.05;0.11;0.22;0.67;0.00;0.10;0.00;0.90;0.00;1.00;1.00;0.00;0.00;1.00;0.29;0.29;0.43
42;ΙΛΙΣΙΑ ΠΑΡΚΟ;1η ΔΚ;23758;37974;0.12;0.16;0.52;0.18;0.47;0.53;0.94;0.03;0.02;0.95;0.04;0.02;0.49;0.47;0.27;0.47;0.22;0.48;0.34;0.15;0.97;0.01;0.01;0.17;0.19;0.02;0.01;0.00;0.40;0.00;0.19;0.33;0.09;0.02;0.35;0.23;0.81;7.48;4.11;12.93;8.09;0.01;0.00;0.44;0.54;0.00;0.00;0.47;0.08;0.01;0.11;0.18;0.01;0.00;0.00;0.12;0.14;0.86;0.60;0.79;0.09;0.12;0.79;0.11;0.10;0.02;0.08;0.91;0.00;0.02;0.04;0.94;0.03;0.97;0.58;0.42;0.46;0.54;0.02;0.50;0.48
64;ΙΟΥΛΙΑΝΟΥ ΦΙΛΑΔΕΛΦΕΙΑΣ;1η ΔΚ;23725;37991;0.05;0.29;0.64;0.02;0.54;0.46;0.53;0.07;0.40;0.98;0.02;0.00;0.86;0.14;0.38;0.36;0.26;0.52;0.46;0.02;0.59;0.30;0.11;0.31;0.21;0.01;0.00;0.00;0.25;0.00;0.62;0.04;0.14;0.02;0.17;0.30;2.01;7.63;3.84;31.85;9.84;0.05;0.00;0.21;0.74;0.00;0.00;0.30;0.23;0.02;0.11;0.06;0.07;0.03;0.08;0.04;0.27;0.73;0.98;0.75;0.13;0.12;0.42;0.23;0.35;0.30;0.00;0.56;0.15;0.38;0.00;0.63;0.08;0.92;0.65;0.35;0.40;0.60;0.10;0.40;0.50
53;ΙΠΠΟΚΡΑΤΕΙΟ;7η ΔΚ;23.76;37983;0.03;0.17;0.56;0.23;0.39;0.61;0.81;0.11;0.08;0.99;0.01;0.06;0.45;0.49;0.34;0.34;0.26;0.57;0.19;0.17;0.91;0.09;0.00;0.13;0.19;0.05;0.05;0.00;0.57;0.00;0.16;0.30;0.10;0.01;0.43;0.28;2.65;4.31;2.45;10.36;7.56;0.02;0.00;0.46;0.52;0.00;0.00;0.33;0.11;0.02;0.00;0.16;0.05;0.03;0.02;0.27;0.18;0.82;0.58;0.71;0.18;0.11;0.70;0.11;0.19;0.07;0.00;0.64;0.29;0.18;0.00;0.82;0.25;0.75;0.67;0.33;0.25;0.75;0.00;0.14;0.86
146;ΚΑΛΛΙΡΡΟΗΣ;2η ΔΚ;23.73;37965;0.12;0.26;0.44;0.18;0.62;0.38;0.91;0.08;0.01;1.00;0.00;0.05;0.57;0.38;0.36;0.37;0.22;0.65;0.22;0.08;0.95;0.04;0.01;0.13;0.10;0.00;0.00;0.00;0.25;0.00;0.22;0.08;0.06;0.00;0.27;0.18;1.68;11.47;2.22;12.79;9.55;0.03;0.01;0.55;0.41;0.00;0.00;0.24;0.17;0.01;0.10;0.12;0.03;0.00;0.02;0.25;0.17;0.83;0.95;0.72;0.04;0.14;0.57;0.18;0.16;0.03;0.00;0.84;0.13;0.07;0.07;0.86;0.00;1.00;1.00;0.00;0.29;0.71;0.00;0.13;0.87
40;ΚΑΜΠΑ I;3η ΔΚ;23713;37975;0.27;0.31;0.36;0.06;0.66;0.33;0.89;0.09;0.01;0.99;0.01;0.02;0.61;0.36;0.28;0.39;0.30;0.52;0.24;0.21;0.85;0.11;0.04;0.15;0.12;0.00;0.02;0.00;0.25;0.00;0.37;0.09;0.09;0.02;0.13;0.23;0.58;28.72;2.80;13.13;8.56;0.20;0.00;0.27;0.52;0.03;0.00;0.28;0.13;0.04;0.08;0.05;0.13;0.00;0.01;0.02;0.26;0.74;0.94;0.60;0.00;0.10;0.40;0.15;0.18;0.33;0.00;0.67;0.00;0.35;0.12;0.53;0.05;0.95;0.67;0.33;0.82;0.18;0.38;0.25;0.38
131;ΚΑΜΠΑ II;3η ΔΚ;23719;37979;0.08;0.63;0.23;0.06;0.84;0.16;0.87;0.06;0.07;1.00;0.00;0.00;0.76;0.23;0.20;0.46;0.34;0.43;0.29;0.27;0.66;0.24;0.10;0.33;0.23;0.00;0.00;0.00;0.48;0.00;0.42;0.17;0.21;0.00;0.04;0.23;5.73;9.27;3.41;29.27;6.72;0.25;0.00;0.40;0.34;0.01;0.00;0.07;0.16;0.02;0.04;0.04;0.39;0.00;0.00;0.01;0.49;0.51;0.88;0.63;0.06;0.17;0.25;0.14;0.47;0.40;0.00;0.60;0.00;0.40;0.00;0.60;0.00;1.00;1.00;0.00;0.50;0.50;0.40;0.00;0.60
65;ΚΑΤΩ ΕΡΥΘΡΟΣ;7η ΔΚ;23766;37989;0.00;0.18;0.62;0.19;0.13;0.87;0.75;0.15;0.10;1.00;0.00;0.00;0.73;0.27;0.47;0.33;0.20;0.63;0.18;0.18;0.84;0.10;0.07;0.08;0.15;0.04;0.03;0.00;0.52;0.00;0.11;0.53;0.12;0.01;0.52;0.35;10.81;1.82;2.10;14.86;8.49;0.03;0.00;0.51;0.46;0.00;0.00;0.31;0.10;0.02;0.11;0.04;0.04;0.02;0.05;0.28;0.07;0.93;0.66;0.79;0.19;0.02;0.62;0.09;0.29;0.11;0.00;0.44;0.44;0.33;0.00;0.67;0.05;0.95;1.00;0.00;0.25;0.75;0.00;0.61;0.39
115;ΚΑΤΩ ΠΑΤΗΣΙΑ I;5η ΔΚ;23737;38.01;0.00;0.77;0.22;0.00;0.14;0.86;0.84;0.12;0.04;1.00;0.00;0.00;0.70;0.30;0.63;0.22;0.15;0.75;0.14;0.10;0.87;0.11;0.02;0.21;0.31;0.00;0.03;0.01;0.56;0.00;0.52;0.23;0.25;0.01;0.19;0.32;10.38;3.41;1.82;13.22;8.85;0.01;0.01;0.22;0.76;0.00;0.00;0.68;0.10;0.02;0.06;0.00;0.02;0.04;0.03;0.03;0.19;0.81;0.81;0.93;0.05;0.01;0.55;0.07;0.35;0.07;0.00;0.40;0.53;0.33;0.00;0.67;0.11;0.89;0.43;0.57;0.25;0.75;0.10;0.60;0.30
2;ΚΑΤΩ ΠΑΤΗΣΙΑ II;4η ΔΚ;23724;38012;0.02;0.43;0.53;0.02;0.22;0.78;0.90;0.05;0.06;0.98;0.02;0.03;0.66;0.32;0.47;0.38;0.13;0.78;0.10;0.09;0.96;0.02;0.02;0.33;0.11;0.00;0.01;0.00;0.70;0.00;0.59;0.24;0.23;0.02;0.14;0.40;0.03;3.87;2.08;3.89;6.71;0.05;0.00;0.32;0.62;0.00;0.00;0.53;0.17;0.03;0.08;0.09;0.04;0.00;0.00;0.00;0.10;0.90;0.90;0.98;0.00;0.02;0.84;0.07;0.07;0.19;0.25;0.56;0.00;0.27;0.13;0.60;0.33;0.67;1.00;0.00;0.60;0.40;0.45;0.55;0.00
50;ΚΕΡΑΜΕΙΚΟΣ;3η ΔΚ;23715;37981;0.02;0.58;0.35;0.05;0.66;0.34;0.90;0.06;0.03;0.83;0.17;0.02;0.62;0.37;0.30;0.32;0.37;0.42;0.30;0.26;0.71;0.20;0.08;0.31;0.06;0.01;0.01;0.00;0.36;0.01;0.38;0.11;0.31;0.02;0.09;0.26;10.64;5.97;3.42;17.05;6.20;0.12;0.00;0.41;0.46;0.00;0.00;0.25;0.26;0.05;0.00;0.01;0.27;0.00;0.00;0.02;0.17;0.83;0.84;0.76;0.00;0.04;0.25;0.22;0.33;0.12;0.00;0.72;0.16;0.19;0.10;0.71;0.00;1.00;1.00;0.00;0.82;0.18;0.24;0.59;0.18
63;ΚΛΩΝΑΡΙΔΟΥ;5η ΔΚ;23733;38018;0.02;0.35;0.61;0.00;0.21;0.79;0.85;0.04;0.11;1.00;0.00;0.00;0.60;0.40;0.15;0.65;0.21;0.52;0.38;0.10;0.90;0.07;0.03;0.40;0.11;0.00;0.01;0.00;0.45;0.00;0.54;0.10;0.10;0.00;0.12;0.15;0.83;3.64;4.86;9.17;7.19;0.03;0.00;0.33;0.65;0.00;0.00;0.41;0.32;0.00;0.06;0.02;0.02;0.09;0.00;0.05;0.11;0.89;0.93;0.86;0.00;0.14;0.54;0.10;0.29;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00
23;ΚΟΙΛΗΣ;3η ΔΚ;23711;37966;0.15;0.24;0.51;0.10;0.31;0.69;0.94;0.05;0.01;1.00;0.00;0.06;0.45;0.49;0.21;0.53;0.21;0.62;0.19;0.13;0.85;0.12;0.03;0.27;0.28;0.00;0.01;0.00;0.32;0.00;0.37;0.10;0.11;0.00;0.35;0.37;0.00;18.92;3.87;17.63;8.63;0.04;0.03;0.46;0.48;0.01;0.00;0.41;0.28;0.04;0.03;0.03;0.07;0.00;0.02;0.06;0.19;0.81;0.95;0.88;0.00;0.04;0.52;0.20;0.19;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.56;0.44;1.00;0.00;1.00;0.00;0.75;0.25;0.00
110;ΚΟΛΙΑΤΣΟΥ I;6η ΔΚ;23733;38006;0.03;0.59;0.38;0.00;0.12;0.88;0.84;0.12;0.04;0.99;0.01;0.00;0.79;0.21;0.35;0.48;0.17;0.76;0.12;0.12;0.94;0.06;0.00;0.22;0.39;0.00;0.01;0.00;0.54;0.00;0.57;0.38;0.14;0.00;0.15;0.37;7.05;5.58;2.92;14.50;7.55;0.04;0.00;0.10;0.86;0.00;0.00;0.65;0.21;0.01;0.00;0.00;0.00;0.00;0.03;0.06;0.03;0.97;0.95;0.97;0.02;0.01;0.73;0.02;0.24;0.14;0.29;0.00;0.57;0.40;0.00;0.60;0.00;1.00;0.50;0.50;0.00;1.00;0.20;0.80;0.00
75;ΚΟΛΙΑΤΣΟΥ II;5η ΔΚ;23733;38011;0.04;0.32;0.63;0.01;0.43;0.57;0.88;0.06;0.06;1.00;0.00;0.00;0.74;0.26;0.61;0.18;0.21;0.77;0.13;0.08;0.92;0.05;0.03;0.12;0.22;0.01;0.04;0.00;0.14;0.00;0.55;0.26;0.07;0.01;0.19;0.57;10.12;3.93;2.16;19.33;8.38;0.06;0.00;0.10;0.83;0.00;0.00;0.46;0.37;0.00;0.00;0.00;0.00;0.04;0.03;0.02;0.20;0.80;0.79;0.90;0.04;0.03;0.66;0.05;0.26;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.50;0.50;0.00;1.00;0.00;0.25;0.75
105;ΚΟΛΟΚΥΝΘΟΥ;4η ΔΚ;23711;38001;0.10;0.54;0.27;0.03;0.40;0.55;0.79;0.06;0.10;0.94;0.01;0.05;0.46;0.43;0.43;0.25;0.21;0.64;0.18;0.07;0.76;0.11;0.08;0.52;0.16;0.01;0.02;0.00;0.29;0.00;0.74;0.07;0.06;0.03;0.14;0.20;0.00;13.90;4.90;11.51;7.33;0.07;0.00;0.33;0.60;0.00;0.00;0.51;0.20;0.05;0.03;0.02;0.06;0.00;0.01;0.04;0.18;0.82;1.00;0.84;0.02;0.03;0.57;0.14;0.18;0.14;0.18;0.68;0.00;0.14;0.18;0.68;0.00;1.00;1.00;0.00;1.00;0.00;0.28;0.22;0.50
45;ΚΟΛΩΝΑΚΙ;1η ΔΚ;23.74;37978;0.05;0.04;0.24;0.67;0.66;0.34;0.49;0.21;0.30;0.94;0.06;0.00;0.67;0.33;0.19;0.35;0.46;0.21;0.31;0.47;0.74;0.18;0.08;0.33;0.19;0.03;0.02;0.09;0.31;0.12;0.49;0.21;0.21;0.03;0.18;0.17;8.79;11.10;4.60;29.26;7.53;0.08;0.04;0.23;0.66;0.00;0.00;0.27;0.23;0.03;0.10;0.09;0.03;0.00;0.00;0.13;0.05;0.95;0.90;0.64;0.17;0.08;0.37;0.11;0.40;0.12;0.05;0.73;0.10;0.19;0.00;0.81;0.03;0.97;0.89;0.11;0.62;0.38;0.00;0.22;0.78
47;ΚΟΛΩΝΑΚΙ ΛΥΚΑΒΗΤΤΟΣ;1η ΔΚ;23749;37979;0.13;0.10;0.24;0.46;0.44;0.48;0.82;0.07;0.04;0.89;0.04;0.05;0.57;0.30;0.21;0.32;0.35;0.30;0.34;0.24;0.80;0.06;0.06;0.39;0.09;0.09;0.03;0.04;0.44;0.03;0.35;0.12;0.10;0.03;0.28;0.08;0.00;11.45;7.70;13.84;8.39;0.04;0.02;0.47;0.47;0.00;0.00;0.33;0.11;0.02;0.13;0.02;0.03;0.00;0.00;0.30;0.09;0.91;0.90;0.73;0.17;0.04;0.67;0.07;0.20;0.14;0.00;0.86;0.00;0.17;0.04;0.78;0.05;0.95;0.83;0.17;0.35;0.65;0.02;0.39;0.59
68;ΚΟΛΩΝΟΣ;4η ΔΚ;23716;37991;0.04;0.29;0.65;0.02;0.25;0.75;0.79;0.07;0.14;0.98;0.02;0.02;0.85;0.13;0.64;0.25;0.11;0.76;0.14;0.08;0.82;0.08;0.10;0.39;0.25;0.01;0.00;0.01;0.46;0.00;0.87;0.10;0.07;0.02;0.38;0.51;3.32;5.07;2.58;18.60;8.96;0.01;0.00;0.29;0.70;0.00;0.00;0.44;0.34;0.03;0.05;0.04;0.05;0.00;0.02;0.01;0.36;0.64;0.96;0.93;0.04;0.02;0.71;0.12;0.16;0.24;0.24;0.53;0.00;0.22;0.11;0.67;0.13;0.88;1.00;0.00;0.64;0.36;0.16;0.21;0.63
18;ΚΟΥΚΑΚΙ;1η ΔΚ;23721;37963;0.05;0.27;0.54;0.14;0.37;0.63;0.89;0.07;0.03;0.96;0.04;0.00;0.63;0.36;0.33;0.40;0.27;0.68;0.17;0.15;0.92;0.07;0.01;0.20;0.14;0.00;0.00;0.00;0.19;0.00;0.31;0.14;0.16;0.01;0.16;0.21;7.87;7.76;3.83;13.39;9.55;0.03;0.00;0.18;0.78;0.01;0.00;0.37;0.18;0.06;0.04;0.04;0.09;0.00;0.04;0.13;0.20;0.80;0.95;0.76;0.02;0.07;0.57;0.17;0.12;0.00;0.40;0.60;0.00;0.07;0.29;0.64;0.20;0.80;0.50;0.50;0.50;0.50;0.08;0.46;0.46
136;ΚΟΥΚΛΑΚΙ;5η ΔΚ;23732;38023;0.02;0.03;0.87;0.08;0.21;0.79;0.90;0.05;0.05;1.00;0.00;0.02;0.57;0.41;0.06;0.54;0.38;0.33;0.45;0.20;0.95;0.04;0.01;0.33;0.02;0.00;0.00;0.00;0.33;0.00;0.44;0.04;0.08;0.01;0.20;0.04;0.00;4.34;5.35;7.07;6.75;0.06;0.00;0.43;0.50;0.00;0.01;0.36;0.18;0.01;0.11;0.16;0.05;0.00;0.00;0.06;0.23;0.77;0.97;0.95;0.02;0.03;0.64;0.16;0.13;0.25;0.00;0.75;0.00;0.25;0.00;0.75;0.33;0.67;1.00;0.00;1.00;0.00;0.13;0.50;0.38
58;ΚΟΥΝΤΟΥΡΙΩΤΙΚΑ;7η ΔΚ;23756;37985;0.10;0.20;0.37;0.28;0.62;0.38;0.88;0.07;0.05;0.98;0.01;0.11;0.62;0.27;0.47;0.25;0.17;0.35;0.33;0.21;0.97;0.02;0.01;0.11;0.08;0.02;0.01;0.01;0.22;0.01;0.19;0.28;0.09;0.03;0.21;0.16;0.05;11.68;4.25;9.72;7.58;0.03;0.00;0.31;0.66;0.01;0.01;0.33;0.23;0.01;0.03;0.03;0.04;0.00;0.00;0.26;0.07;0.93;0.89;0.76;0.20;0.03;0.68;0.13;0.18;0.13;0.07;0.80;0.00;0.13;0.00;0.87;0.08;0.92;0.73;0.27;0.44;0.56;0.03;0.24;0.73
80;ΚΥΠΡΙΑΔΟΥ;5η ΔΚ;23737;38018;0.02;0.25;0.65;0.07;0.31;0.69;0.86;0.05;0.09;1.00;0.00;0.02;0.59;0.39;0.10;0.47;0.41;0.31;0.52;0.15;0.84;0.12;0.04;0.37;0.04;0.00;0.00;0.00;0.33;0.00;0.37;0.10;0.04;0.00;0.06;0.07;8.64;4.95;5.60;16.70;7.38;0.03;0.00;0.41;0.56;0.01;0.00;0.49;0.08;0.01;0.16;0.07;0.05;0.11;0.00;0.00;0.07;0.93;0.92;0.77;0.07;0.17;0.33;0.21;0.46;0.00;0.00;0.75;0.25;0.08;0.00;0.92;0.00;1.00;1.00;0.00;0.25;0.75;0.09;0.36;0.55
143;ΚΥΠΡΙΩΝ;6η ΔΚ;23751;38006;0.09;0.14;0.66;0.10;0.19;0.81;0.97;0.03;0.00;0.99;0.01;0.20;0.45;0.35;0.42;0.22;0.16;0.47;0.29;0.04;0.99;0.01;0.00;0.38;0.24;0.00;0.00;0.00;0.45;0.00;0.50;0.11;0.34;0.00;0.55;0.31;0.00;9.54;1.54;7.42;5.85;0.00;0.07;0.40;0.48;0.04;0.00;0.42;0.23;0.01;0.09;0.04;0.05;0.00;0.00;0.00;;;;0.83;0.02;0.02;0.84;0.01;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00
123;ΛΑΜΠΡΙΝΗ;5η ΔΚ;23746;38023;0.10;0.10;0.73;0.08;0.31;0.69;0.87;0.07;0.06;0.96;0.04;0.01;0.58;0.42;0.23;0.51;0.25;0.54;0.23;0.22;0.91;0.08;0.01;0.46;0.06;0.01;0.00;0.00;0.54;0.00;0.49;0.15;0.23;0.00;0.26;0.26;0.00;10.76;6.94;2.97;7.03;0.08;0.00;0.47;0.45;0.00;0.00;0.56;0.09;0.01;0.14;0.04;0.06;0.00;0.00;0.00;0.00;1.00;1.00;0.96;0.02;0.01;0.84;0.01;0.07;0.31;0.00;0.69;0.00;0.45;0.00;0.55;0.27;0.73;1.00;0.00;1.00;0.00;0.36;0.36;0.27
114;ΛΟΦΟΣ ΕΛΙΚΩΝΟΣ;6η ΔΚ;23742;38008;0.00;0.24;0.33;0.03;0.00;0.60;0.60;0.00;0.00;0.60;0.00;0.14;0.17;0.29;0.13;0.33;0.00;0.37;0.09;0.00;0.60;0.00;0.00;0.33;0.00;0.00;0.00;0.00;0.48;0.00;0.41;0.00;0.20;0.00;0.38;0.00;0.00;0.00;3.80;0.00;7.20;0.00;0.05;0.23;0.71;0.02;0.00;0.78;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;1.00;0.00;0.00;0.90;0.00;0.00;;;;;;;;;;;;;;;;
