OBJECTID;stop_id;stop_code;stop_name;stop_desc;E1 Υπάρχει Στέγαστρο?;E2 Υπάρχει κάθισμα?;Ε3 Ορατότητα;Ε4 Εξοχή πεζοδρομίου;Ε5 Τηλεματική;Ε6 Καθαριότητα;Σταθμός ΜΕΤΡΟ
939;61351;61351;ΒΡΕΤΤΟΥ;Επί της ΛΙΟΣΙΩΝ;Ναι, καλή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Ναι;Καλή;
940;61352;61352;ΠΡΑΚΤΟΡΕΙΑ;Επί της ΛΙΟΣΙΩΝ;Ναι, καλή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Ναι;Καλή;
941;61353;61353;ΤΕΡΜΑ;Επί της ΜΗΤΡΟΠΕΤΡΟΒΑ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Όχι;Κακή;
942;61357;61357;ΦΙΛΕΛΛΗΝΩΝ;Επί της ΦΙΛΕΛΛΗΝΩΝ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
943;61360;61360;ΠΛ.ΚΥΨΕΛΗΣ;Επί της ΠΛ.ΚΥΨΕΛΗΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Κακή;Όχι;Ναι;Μέτρια;
944;61361;61361;ΤΕΡΜΑ(ΑΠΟΒΙΒΑΣΗΣ);Επί της ΑΣΚΛΗΠΙΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Κακή;
945;61362;61362;ΕΡΤ;Επί της ΜΕΣΟΓΕΙΩΝ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
946;61363;61363;ΣΤ.ΚΑΤΕΧΑΚΗ;Επί της ΜΕΣΟΓΕΙΩΝ;;;;;;;
947;61364;61364;ΠΑΙΩΝΙΟΥ;Επί της ΛΙΟΣΙΩΝ;Όχι;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Κακή;
948;61368;61368;ΣΤ.ΛΑΡΙΣΗΣ;Επί της ΔΗΛΗΓΙΑΝΝΗ;Όχι;Όχι;Καλή;Όχι;Όχι;Μέτρια;
949;61369;61369;ΔΟΜΟΚΟΥ;Επί της ΔΟΜΟΚΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
950;61372;61372;ΠΛ.ΠΛΑΣΤΗΡΑ;Επί της ΕΥΦΡΑΝΟΡΟΣ;Όχι;Όχι;Κακή;Όχι;Όχι;Καλή;
951;61375;61375;(ΤΕΡΜΑ)ΑΜΑΞ/ΣΙΟ ΒΟΤΑΝΙΚΟΥ;Επί της ΕΝΤΟΣ ΑΜΑΞΟΣΤΑΣΙΟΥ;;;;;;;
952;61377;61377;ΟΜΟΝΟΙΑ-ΣΩΚΡΑΤΟΥΣ;Επί της ΠΕΙΡΑΙΩΣ;Στοά, χωρίς στέγαστρο;Όχι;Κακή;Όχι;Όχι;Μέτρια;
953;61378;61378;ΟΜΟΝΟΙΑ;Επί της ΠΕΙΡΑΙΩΣ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
954;61380;61380;ΑΚΑΔΗΜΙΑ ΑΘΗΝΩΝ;Επί της ΠΑΝΕΠΙΣΤΗΜΙΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
955;61382;61382;ΠΟΛΥΤΕΧΝΕΙΟ;Επί της ΠΑΤΗΣΙΩΝ;Στοά, χωρίς στέγαστρο;Όχι;Καλή;Όχι;Όχι;Μέτρια;
956;61383;61383;ΝΙΚΟΜΑΧΟΥ;Επί της ΗΛΙΑ ΗΛΙΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
957;61386;61386;ΒΟΥΛΙΑΓΜΕΝΗΣ;Επί της ΗΛΙΑ ΗΛΙΟΥ;Στοά, χωρίς στέγαστρο;Όχι;Κακή;Όχι;Όχι;Μέτρια;
958;61392;61392;ΗΠΕΙΡΟΥ;Επί της ΑΧΑΡΝΩΝ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
959;61558;61558;ΧΙΛΤΟΝ;Επί της ΛΕΩΦ.ΒΑΣ.ΣΟΦΙΑΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
960;61560;61560;ΣΤ.ΚΑΤΕΧΑΚΗ(ΑΦΕΤΗΡΙΑ);Επί της ΣΤΟ ΧΩΡΟ ΤΟΥ ΣΤΘ.ΚΑΤΕΧΑΚΗ;;;;;;;
961;61561;61561;ΗΡΑΚΛΕΙΟΥ;Επί της ΑΓ.ΛΑΥΡΑΣ;Όχι;Όχι;Κακή;Όχι;Όχι;Κακή;
962;61562;61562;ΑΦΕΤΗΡΙΑ;Επί της ΒΑΣ.ΑΜΑΛΙΑΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
